product_id	maturity	price	category	patent_id
8a558cf9e24a83edd65e59952695db87	established	812	feed	47385e093281de466cfab4902f4c7345
cf682b73be1afad47d0f32559ac34627	new	3654	seeds	d139f78e2d2d7544aac176946e379e4b
f26b0d8f252a76f2f99337cced08314b	new	4901	seeds	a33adb5c233e93ae936f8c33fb16a733
0d98dad3689d87a13bb0fef1e18629e0	established	5347	anti-biotics	96b2fb148ff71d24cd32d3392d4db932
4210ca147391331cc27600f77529ae94	established	716	anti-biotics	0cfd140809104bb01d79025602a7b8da
cd6088ce29016d22e99abc11403ffc0b	established	4222	anti-biotics	8748d05995edc7c4e24b841c3a988203
c67e5c10da581890bda28024e3f1711d	new	7588	seeds	5f53dfbefe0055a70384e3e0a38965f7
7f5a687097048693a42312f58a583ef1	new	966	feed	0cfd140809104bb01d79025602a7b8da
e8a244d523c128b1b104fe70433107b0	established	1945	seeds	4e3afe16caf5a013012ef6e2006f58a9
01dc0afbf4732dbbde6c72af8acd397e	established	3814	fertiliser	158aa266ef98ea22dcb21e1ff0ec5660
57fe77be6bc1035c578b5058b40ef493	established	8672	seeds	ad2981486a8d14b26fe961b89fdd7a64
4bb4ed9ddd2852dc88185b13834952a0	new	9909	anti-biotics	06e2459af1e4705eae5390d762efe66b
f14e410798ead98d6c77e51e539bec8a	new	453	anti-biotics	ad2981486a8d14b26fe961b89fdd7a64
6bd2d465684be9eb62ab73993dc8c243	established	5600	feed	300194bd91d1dc24cad0db9c8f1f48a6
f3bff95e49ab72d76d545de0886b1327	established	7409	feed	f72bbabb6a95e8f88edd6ebdc4fae940
bc2ec870349098a8980c14bac15c1386	new	9646	anti-biotics	8748d05995edc7c4e24b841c3a988203
2e5163d393a88c3f4b8b65349622ccb2	new	5653	seeds	2ea2b630d303c732f91479bcfc237f58
a40cae37c52493f88ea7744eb3de6628	established	8831	fertiliser	b3e35315ae756604893f41c41f30dc40
ce4c9cc1ce93dc31bb341a8ff93144f4	established	1972	anti-biotics	0d9d5ff0be0097a6779e7bfd68c20d2d
a94c3ff2d9f2ee76c2432abc3a6aad61	new	1085	feed	50e9ebbea9bf0da6cff09c4fa31c0daf
f55c57e62bb29e772cb8d71e8f09075b	new	4542	fertiliser	e363b9ebc47c3bf8a042cf04d2318964
02950aeb45d2daedc134101f2fdaf19e	established	7033	seeds	b904168ec03a9a1c8ce0a71e7702a80a
c4bffcfdc62b40169ada556bd259d25f	established	6479	seeds	dfbcf4c6c8987767c220385185fe26ef
647c5065bc73814e465404b1816c7a20	new	9370	feed	532afb62b75a5c4f9f2beea176f61edb
98ffb28b8ed7ecab5dc2426fb2cf0e0b	established	5048	anti-biotics	da91587c78e5fe2f4c52d2dbd5d597d2
e22980ea805d09c4ac8a337bcdc15763	new	7441	anti-biotics	2a4188fd158d5dbf44262d2c6dae39ef
86427269cc20d1c0382ba7b3ba664a81	new	4387	seeds	532afb62b75a5c4f9f2beea176f61edb
7b168faa0e7ff31aae0ffe0f78a7f83f	established	6821	anti-biotics	8748d05995edc7c4e24b841c3a988203
072b17903df967765e20f4d4892d06c7	new	9653	feed	319ddf506b5e9ed72ecb9e0045a2a728
8adb0b4317e979eef1dd4777366e419f	new	5999	feed	a33adb5c233e93ae936f8c33fb16a733
8726871a3592d809ff4988629d80caf5	new	4961	feed	0a22134b23119a33c31ca7f9765dd241
eb09fa1eadc83982753a19bc301d4fe7	new	4326	feed	ab4f81d471fc5dfa18139a174eb52fdc
5671a817e82b58ac1d574ca954d1f7bf	established	5882	feed	300194bd91d1dc24cad0db9c8f1f48a6
e744f0bc384a80ee144b297e3ae513c9	established	457	seeds	d139f78e2d2d7544aac176946e379e4b
2a38ce238f4b3a52b6bf5dfe92b4dbd5	established	8298	seeds	f3db5e417010050d3271e4484bd6e5b6
a35d73f1178e8bdb1746aa50068edf2b	new	225	fertiliser	c1b6774910a0844775403a8411bc53c3
b8b0d30eb31d370993fecc16e39a5c0d	new	1387	feed	734f3d3e9c348355351c8538a6bcdf26
159c3b019632234bfac266fd608d1352	established	3560	anti-biotics	532afb62b75a5c4f9f2beea176f61edb
d993d811976d8b1c61ae286baa35eb40	established	6979	seeds	459a9b178fdaeda3594bb1e2d50872c6
a1f83487893c2d96cbd1451657dc1517	new	2529	anti-biotics	3d8e0b829b8a709039fd67ae867aaade
95df03a2faa7df9df851e01fc420524a	established	9131	fertiliser	9040280e69387e6476dc2d6b19f2625b
77a50083afe574ebec00b4c3ae4d6c83	established	1893	feed	b1d103577fc0001a18fc5b7d01c0425e
a4a2ec344ce87503e8573bf20b211101	new	1828	fertiliser	e363b9ebc47c3bf8a042cf04d2318964
01604de615b208948cfef2f01489bad6	new	1671	fertiliser	3e0fc3831d539e0f00d1f30297bcc27d
40732a8ed26d1be572759e852ce3fbbe	new	1232	feed	e3bc8365c9bd080e3ad8f9337ee78034
dcb83ddac4e1923cc5bc1915dc74bb45	new	1976	anti-biotics	e363b9ebc47c3bf8a042cf04d2318964
1e66367306970368194b6b6f6fe7878e	new	466	feed	2ea2b630d303c732f91479bcfc237f58
f83aeaf4de363930fcf8fa15b0784e7d	new	1448	fertiliser	625350ee7a6e078d625bd669038fa53b
a23146a0e5b32ce3c3ff981b19ec2548	established	358	fertiliser	e363b9ebc47c3bf8a042cf04d2318964
8307964fe61ca025e1fb171276ed2106	new	8606	anti-biotics	1f75b6b590f811cd5dd5e88626f16e84
c0def02cdba35616d04b2462968fc3dd	new	7044	fertiliser	58220ce949de07493fab9315a7799aeb
4e54dd80c05b2dd1e66c4bd63b20c393	new	8861	anti-biotics	e7ea802a67a9142cfedde87a6984952d
7c397b41d741aca1336a1c30fe627eae	new	5348	anti-biotics	66c27bcc62116b47e4580f6d5f755583
0eed3f6963570b036da4925ef9c82622	new	1377	anti-biotics	29872d1970acd5fa1b97bf3db12030df
662a888c1c8ad91f5f8696249f9ab43d	new	7187	fertiliser	7923b31ec8b8cf9945f945e3de602333
31f9aac6263f8c060a6fd0ecf036a30c	new	9393	feed	f154ec2396338723236baf4315997cf9
e70c374483333033fffb20d128f2f765	established	7836	anti-biotics	ad742c81d4770b84e61d40fe8abe6484
b88653f7ff85b3d351a0571d3a08ae7c	established	771	seeds	0a22134b23119a33c31ca7f9765dd241
a33fd4dbd24bda5265081232d9b97aa7	established	9635	fertiliser	47385e093281de466cfab4902f4c7345
e1a6325a9fc9a71d9e8275004a08cdb5	established	1091	anti-biotics	c51a5ba4a1bd5e5c760b98224edfe626
cbac9ba555e1ea33442dbb1fc2c77843	established	3160	anti-biotics	7b8dc6ed0170076c88535919845b86da
fd18d3ebd22f0a9fedddeef9af568225	established	2885	fertiliser	f72bbabb6a95e8f88edd6ebdc4fae940
6328cd98209177d33fc579ac8aff681a	new	4558	seeds	3f006637e3b4693292fe397d017213fa
1e36714fd4eb7878c5a080358486e32a	established	4997	anti-biotics	3d8e0b829b8a709039fd67ae867aaade
4075d6d2e32c99e7540a00bfd882a449	established	6436	fertiliser	6a6b67d82f62b4395eecc0f1f561b550
df1f6baa6a96b868f98871a30bdc90b1	new	476	feed	300194bd91d1dc24cad0db9c8f1f48a6
e5c490c626cf0f9c94750d0575faa139	new	3169	fertiliser	158aa266ef98ea22dcb21e1ff0ec5660
cdef622764f720ad5aee3ad00b78ff37	new	5796	fertiliser	949843dc40c3c2b234ca75354e7f37bf
00730109249021662dbc181ba9f80c19	new	7803	seeds	4e3afe16caf5a013012ef6e2006f58a9
981ab373a778cf09a55fd95edee08aaf	new	7352	seeds	acd221d9f0e04f1028912e8815fa2fc2
7e95b2a272149bcfe430a3d187dfa33a	new	5549	fertiliser	50e9ebbea9bf0da6cff09c4fa31c0daf
88fc622473c4f2ca03d255af1ffae893	new	8997	seeds	dfbcf4c6c8987767c220385185fe26ef
003be04f8e8fba483f03a958146a8921	established	7847	seeds	446732c542e1fad64d7f3919ee565ee4
04842cc3a65c732f53192a88b9c20cfe	established	1992	seeds	adec89c252d37ab831b3f69b559da614
b0477b2d9e7c8456124c4df43365ef74	new	2595	fertiliser	e7ea802a67a9142cfedde87a6984952d
59b912b11b8c4a998e0c2dc52e29609d	new	8289	fertiliser	dfbcf4c6c8987767c220385185fe26ef
71d1eb7f6f010d7fe573b77db46c607c	new	5771	anti-biotics	e7ea802a67a9142cfedde87a6984952d
45b9795eea62ca760a1f8542f5c2ede9	established	2614	seeds	80f8cb30523561f30299c77cb8da9764
fea596dd0a906a6029a59dc752010481	new	6104	anti-biotics	b904168ec03a9a1c8ce0a71e7702a80a
8746beb6389f47b3c3d8f89c288d56dd	established	1703	feed	e7ea802a67a9142cfedde87a6984952d
329f10e866fe944157cb7dfac50d4f49	new	6934	feed	3034810b10acbf14a4aad7b6066b79a3
a23559583b5195a1ab8899f37ce31a42	established	9381	feed	6a6b67d82f62b4395eecc0f1f561b550
8eb066fdfeedae6f67e054af78a989ef	new	4246	fertiliser	3e0fc3831d539e0f00d1f30297bcc27d
16a0c0b460034aa84616b48a568d1055	established	8620	feed	80f8cb30523561f30299c77cb8da9764
f10896c35129aebb8e64b57bf16d3511	new	9270	anti-biotics	6a6b67d82f62b4395eecc0f1f561b550
a29242761afa6916340aae10304feeca	new	9087	fertiliser	319ddf506b5e9ed72ecb9e0045a2a728
3a7c240896f19e7968e499e6f25814fe	established	2200	feed	4fc428b5004af329f0703f1b0d87b58b
b1a8887cff0721caef0e28e28b1352ec	new	8874	anti-biotics	bf7242fbe85766bab45f4960b279e593
8667069c75879922f073fc1d26812d7d	new	7931	fertiliser	319ddf506b5e9ed72ecb9e0045a2a728
0b180ddaa814cee5c70364afc1ac53fc	new	3092	fertiliser	5f53dfbefe0055a70384e3e0a38965f7
c33fa8699cbf4d3ad13772766a464c5a	new	494	seeds	96b2fb148ff71d24cd32d3392d4db932
d1dd2216349f226c64761593c2701b2a	new	1551	anti-biotics	66c27bcc62116b47e4580f6d5f755583
d6a9a3a893ec2bf506810101b09be42d	established	8576	feed	66c27bcc62116b47e4580f6d5f755583
f8f62c3ad022002434b772630190b245	new	6358	feed	7b8dc6ed0170076c88535919845b86da
34319830ed90520be767f45b843679bc	established	3602	anti-biotics	949843dc40c3c2b234ca75354e7f37bf
e6b0db6289955dee59db86234ee80d06	established	7136	seeds	29872d1970acd5fa1b97bf3db12030df
2cbd32dbf04d771eccac33ca0985ce03	established	289	seeds	0bf1bad4fe901cf982bf752f3af7b184
7ab146698dd3d2c7703cab62c6e6ad9a	established	2687	anti-biotics	5dba910ad3791ac82ff9f01510e382f5
af4cd8bcdc61421aa6503f7a7cda7c2d	new	4157	anti-biotics	d8fc69e34c01f2744d97c7e4a91cedf0
162e51dcc1d2651a2b5150c198c11c68	new	5071	anti-biotics	734f3d3e9c348355351c8538a6bcdf26
